uuid,sku,variety,title,price,in_stock,link,category,tags,image_url,image_path,split,cleaned_strings,length_cm,length_inches,gender,breeder,tags_list
28a89d,9829219893560,Default Title,Default Title — 25B-017 Kohaku,2400.0,True,https://www.champkoi.com/products/25b-017-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-017_600x_5ca01c08-f430-4b4f-af88-da760d218e1d.jpg?v=1741844276,champkoi_data/28a89d_Default_Title_—_25B-017_Kohaku.jpg,"['Default', 'Title', '—', '25B-017', 'Kohaku']","['25B-017', 'Kohaku']",,,,,['Kohaku']
78db67,9876547666232,Default Title,Default Title — 25D-019 Red Kujaku,2400.0,True,https://www.champkoi.com/products/25d-019-red-kujaku,Single_Koi,['Red Kujaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-019_600x_2c8e9ffa-97ba-47cc-b28a-4dfad8085d50.jpg?v=1745004323,champkoi_data/78db67_Default_Title_—_25D-019_Red_Kujaku.jpg,"['Default', 'Title', '—', '25D-019', 'Red', 'Kujaku']","['25D-019', 'Red', 'Kujaku']",,,,,['Red Kujaku']
625278,9876549173560,Default Title,Default Title — 25D-026 Shiro Utsuri,2400.0,True,https://www.champkoi.com/products/25d-026-shiro-utsuri,Single_Koi,['Shiro Utsuri'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-026_600x_85718a98-fbfc-4fa2-a8ea-8611c7018615.jpg?v=1745004636,champkoi_data/625278_Default_Title_—_25D-026_Shiro_Utsuri.jpg,"['Default', 'Title', '—', '25D-026', 'Shiro', 'Utsuri']","['25D-026', 'Shiro', 'Utsuri']",,,,,['Shiro Utsuri']
60f867,9877142438200,Default Title,Default Title — 25D-048 Ki Matsuba,2400.0,True,https://www.champkoi.com/products/25d-048-ki-matsuba,Single_Koi,['Ki Matsuba'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-048_600x_6d204ea3-7961-4192-8237-0791cbd6988d.jpg?v=1745075335,champkoi_data/60f867_Default_Title_—_25D-048_Ki_Matsuba.jpg,"['Default', 'Title', '—', '25D-048', 'Ki', 'Matsuba']","['25D-048', 'Ki', 'Matsuba']",,,,,['Ki Matsuba']
9a2a9c,9877318959416,Default Title,Default Title — 25D-053 Ginrin Chagoi,2400.0,False,https://www.champkoi.com/products/25d-053-ginrin-chagoi,Single_Koi,['Ginrin Chagoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-053_600x_9b36864a-1d29-4ea9-9bf1-1de62e70921c.jpg?v=1745110047,champkoi_data/9a2a9c_Default_Title_—_25D-053_Ginrin_Chagoi.jpg,"['Default', 'Title', '—', '25D-053', 'Ginrin', 'Chagoi']","['25D-053', 'Ginrin', 'Chagoi']",,,,,['Ginrin Chagoi']
ed2f12,8569603096888,Default Title,Default Title — 23A-309 Ginrin Karashigoi,2560.0,True,https://www.champkoi.com/products/23a-309-ginrin-karashigoi,Single_Koi,['Ginrin Karashigoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/23A-309.jpg?v=1692557721,champkoi_data/ed2f12_Default_Title_—_23A-309_Ginrin_Karashigoi.jpg,"['Default', 'Title', '—', '23A-309', 'Ginrin', 'Karashigoi']","['23A-309', 'Ginrin', 'Karashigoi']",,,,,['Ginrin Karashigoi']
30c769,8569604473144,Default Title,Default Title — 23A-305 Ginrin Soragoi,2800.0,True,https://www.champkoi.com/products/23a-305-ginrin-soragoi,Single_Koi,['Ginrin Soragoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/23A-305.jpg?v=1692557730,champkoi_data/30c769_Default_Title_—_23A-305_Ginrin_Soragoi.jpg,"['Default', 'Title', '—', '23A-305', 'Ginrin', 'Soragoi']","['23A-305', 'Ginrin', 'Soragoi']",,,,,['Ginrin Soragoi']
e3b3c2,8970190258488,Default Title,Default Title — 24B-064 Sanke,2800.0,True,https://www.champkoi.com/products/24b-064-sanke,Single_Koi,['Sanke'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24B-064.jpg?v=1706933096,champkoi_data/e3b3c2_Default_Title_—_24B-064_Sanke.jpg,"['Default', 'Title', '—', '24B-064', 'Sanke']","['24B-064', 'Sanke']",,,,,['Sanke']
de3281,8980146192696,Default Title,Default Title — 24D-108 Showa,2800.0,True,https://www.champkoi.com/products/24d-108-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24D-108.jpg?v=1707351145,champkoi_data/de3281_Default_Title_—_24D-108_Showa.jpg,"['Default', 'Title', '—', '24D-108', 'Showa']","['24D-108', 'Showa']",,,,,['Showa']
f780f1,8980147503416,Default Title,Default Title — 24D-110 Showa,2800.0,True,https://www.champkoi.com/products/24d-110-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24D-110.jpg?v=1707351176,champkoi_data/f780f1_Default_Title_—_24D-110_Showa.jpg,"['Default', 'Title', '—', '24D-110', 'Showa']","['24D-110', 'Showa']",,,,,['Showa']
