uuid,link,title,price,sku,details,image,image_url,breeder,length_inches,tags
94da16,https://www.grandkoi.com/product/showa-7013/,Showa,"$14,999.00",7013,"['Breeder: Isa', 'Inches: 28']",grandkoi_data/94da16_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/29-QT2-FEB-13-2023-28-inches-300x450.jpeg,Isa,28.0,['Showa']
9ca522,https://www.grandkoi.com/product/showa-7012/,Showa,"$14,999.00",7012,"['Breeder: Isa', 'Inches: 29']",grandkoi_data/9ca522_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/QT2-29-inches-No-3-300x450.jpeg,Isa,29.0,['Showa']
deacdd,https://www.grandkoi.com/product/showa-7011/,Showa,"$15,999.00",7011,"['Breeder: Isa', 'Inches: 29']",grandkoi_data/deacdd_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/QT2-29-inches-No-28-300x450.jpeg,Isa,29.0,['Showa']
738b98,https://www.grandkoi.com/product/showa-39/,Showa,"$14,999.00",7008,"['Breeder: Isa', 'Inches: 30']",grandkoi_data/738b98_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/15-showa-30-300x450.jpeg,Isa,30.0,['Showa']
fb52de,https://www.grandkoi.com/product/showa-26/,Showa,"$16,999.00Original price was: $16,999.00.$14,999.00Current price is: $14,999.00.",7007,"['Breeder: Isa', 'Inches: 31']",grandkoi_data/fb52de_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/14-showa-29-300x450.jpeg,Isa,31.0,['Showa']
6fdbad,https://www.grandkoi.com/product/showa-7005/,Showa,"$16,999.00",7005,"['Breeder: Isa', 'Inches: 30']",grandkoi_data/6fdbad_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/12-showa-30-300x450.jpeg,Isa,30.0,['Showa']
484046,https://www.grandkoi.com/product/showa-7004/,Showa,"$16,999.00",7004,"['Breeder: Isa', 'Inches: 27']",grandkoi_data/484046_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/11-showa-27-300x450.jpeg,Isa,27.0,['Showa']
6cd262,https://www.grandkoi.com/product/showa-7003/,Showa,"$19,999.00",7003,"['Breeder: Miyatora', 'Inches: 27']",grandkoi_data/6cd262_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/10-showa-27-300x450.jpeg,Miyatora,27.0,['Showa']
8e7615,https://www.grandkoi.com/product/showa-7002/,Showa,"$18,999.00",7002,"['Breeder: Miyatora', 'Inches: 30']",grandkoi_data/8e7615_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/9-showa-30-300x450.jpeg,Miyatora,30.0,['Showa']
088455,https://www.grandkoi.com/product/showa-7000/,Showa,"$12,999.00",7000,"['Breeder: Isa', 'Inches: 30']",grandkoi_data/088455_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/8-showa-29.5-300x450.jpeg,Isa,30.0,['Showa']
