,link,title,category,price,sku,image,image_url
ac3ca362,https://nextdaykoi.com/product/4-5-imported-kujaku-35/,4.5” Imported Kujaku,"['All Hikari Koi', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Kujaku', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391215,nextdaykoi_data/ac3ca362_4.5”_Imported_Kujaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-75.jpg
534ea229,https://nextdaykoi.com/product/4-imported-kohaku-34/,4” Imported Kohaku,"['Gosanke', 'Imported Koi', 'Kohaku', 'Koi', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391214,nextdaykoi_data/534ea229_4”_Imported_Kohaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-69.jpg
4b574c16,https://nextdaykoi.com/product/4-imported-gin-rin-glass-fin-kohaku-2/,4” Imported Gin Rin Glass Fin Kohaku,"['Gosanke', 'Imported Koi', 'Kohaku', 'Koi', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391210,nextdaykoi_data/4b574c16_4”_Imported_Gin_Rin_Glass_Fin_Kohaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-49.jpg
49e54d3b,https://nextdaykoi.com/product/4-imported-doitsu-lemon-hariwake-6/,4” Imported Doitsu Lemon Hariwake,"['All Hikari Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391209,nextdaykoi_data/49e54d3b_4”_Imported_Doitsu_Lemon_Hariwake.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-44.jpg
a752e083,https://nextdaykoi.com/product/4-imported-armor-scaled-kujaku-3/,4” Imported Armor Scaled Kujaku,"['Hikarimoyo', 'Imported Koi', 'Koi', 'Kujaku', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391208,nextdaykoi_data/a752e083_4”_Imported_Armor_Scaled_Kujaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-39.jpg
4a612dbd,https://nextdaykoi.com/product/3-5-imported-hariwake-10/,3.5” Imported Hariwake,"['All Hikari Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391202,nextdaykoi_data/4a612dbd_3.5”_Imported_Hariwake.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-8.jpg
ee9a5470,https://nextdaykoi.com/product/3-5-imported-kohaku-17/,3.5” Imported Kohaku,"['Gosanke', 'Imported Koi', 'Kohaku', 'Koi', 'Single Fish', 'Single Koi']",$44.00$39.60,H0430G0391201,nextdaykoi_data/ee9a5470_3.5”_Imported_Kohaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_039_12-3.jpg
6f45740f,https://nextdaykoi.com/product/5-imported-gin-rin-hariwake-butterfly-koi-14/,5” Imported Gin Rin Hariwake Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$85.00$76.50,H0430D421208,nextdaykoi_data/6f45740f_5”_Imported_Gin_Rin_Hariwake_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_42_12-39.jpg
da5845db,https://nextdaykoi.com/product/6-7-imported-neon-orenji-ogon-butterfly-koi/,6-7″ Imported Neon Orenji Ogon Butterfly Koi,"['Butterfly Koi Pond Packs', 'New Pond Packs', 'Pond Pack Koi, Butterfly Koi & Goldfish']",$142.30 – $526.90,,nextdaykoi_data/da5845db_6-7″_Imported_Neon_Orenji_Ogon_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/EVERGREEN.2025.05.02_PP_BF6ORENJI-10.jpg
770364fa,https://nextdaykoi.com/product/14-imported-yamato-nishiki-butterfly-koi/,14” Imported Yamato Nishiki Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi', 'Yamato Nishiki']",$850.00$765.00,H0430D711010,nextdaykoi_data/770364fa_14”_Imported_Yamato_Nishiki_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-49.jpg
a47cb213,https://nextdaykoi.com/product/14-imported-doitsu-kujaku-butterfly-koi/,14” Imported Doitsu Kujaku Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Hikarimoyo', 'Imported Koi', 'Koi', 'Kujaku', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711009,nextdaykoi_data/a47cb213_14”_Imported_Doitsu_Kujaku_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-44.jpg
50bbd9c1,https://nextdaykoi.com/product/13-imported-ochiba-shigure-butterfly-koi-2/,13” Imported Ochiba Shigure Butterfly Koi,"['Butterfly Koi', ""Crystal's Featured Fish"", 'Imported Koi', 'Kawarimono', 'Koi', 'Ochiba Shigure', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711008,nextdaykoi_data/50bbd9c1_13”_Imported_Ochiba_Shigure_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-38.jpg
b65dcc05,https://nextdaykoi.com/product/13-imported-kin-kikokuryu-butterfly-koi/,13” Imported Doitsu Kujaku Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Kujaku', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711007,nextdaykoi_data/b65dcc05_13”_Imported_Doitsu_Kujaku_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-33.jpg
bfcb84ff,https://nextdaykoi.com/product/13-imported-kujaku-butterfly-koi/,13” Imported Kujaku Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Hikarimoyo', 'Imported Koi', 'Koi', 'Kujaku', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711006,nextdaykoi_data/bfcb84ff_13”_Imported_Kujaku_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-28.jpg
b8b45c72,https://nextdaykoi.com/product/13-imported-shusui-butterfly-koi/,13” Imported Shusui Butterfly Koi,"['Asagi and Shusui', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Imported Koi', 'Koi', 'Shusui', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711005,nextdaykoi_data/b8b45c72_13”_Imported_Shusui_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-23.jpg
